102,0,0
153,0,0
204,0,0
255,0,0
255,51,51
255,102,102
255,153,153
255,204,204
255,229,204
255,204,153
255,178,102
255,153,51
255,128,0
204,102,0
153,76,0
102,51,0
102,102,0
153,153,0
204,204,0
255,255,0
255,255,51
255,255,102
255,255,153
255,255,204
229,255,204
204,255,153
178,255,102
153,255,51
128,255,0
102,204,0
76,153,0
51,102,0
0,102,0
0,153,0
0,204,0
0,255,0
51,255,51
102,255,102
153,255,153
204,255,204
204,255,229
153,255,204
102,255,178
51,255,153
0,255,128
0,204,102
0,153,76
0,102,51,
0,102,102
0,153,153
0,204,204
0,255,255
51,255,255
102,255,255
153,255,255
204,255,255
204,229,255
153,204,255
102,178,255
51,153,255
0,128,255
0,102,204
0,76,153
0,51,102
0,0,102
0,0,153
0,0,204
0,0,255
51,51,255
102,102,255
153,153,255
204,204,255
229,204,255
204,153,255
178,102,255
153,51,255
127,0,255
102,0,204
76,0,153
51,0,102
102,0,102
153,0,153
204,0,204
255,0,255
255,51,255
255,102,255
255,153,255
255,204,255
255,204,229
255,153,204
255,102,178
255,51,153
255,0,127
204,0,102
153,0,76
102,0,51
